City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,college,64.8569,-147.8028,9.21,90,100,8.23,US,1685393428
1,adrar,20.5022,-10.0711,30.95,28,68,6.6,MR,1685393429
2,usinsk,65.9939,57.5281,12.92,93,100,6.86,RU,1685393429
3,papatowai,-46.5619,169.4708,9.18,81,46,2.88,NZ,1685393429
4,margaret river,-33.95,115.0667,19.55,76,91,7.13,AU,1685393430
5,udachny,66.4167,112.4,11.92,43,97,2.17,RU,1685393430
6,waitangi,-43.9535,-176.5597,14.9,90,100,4.47,NZ,1685393430
7,flying fish cove,-10.4217,105.6791,25.82,88,100,4.63,CX,1685393431
8,edinburgh of the seven seas,-37.0676,-12.3116,17.43,86,100,14.34,SH,1685393431
9,port-aux-francais,-49.35,70.2167,6.18,95,92,12.95,TF,1685393431
10,wad rawah,15.1603,33.1397,28.29,54,92,6.41,SD,1685393431
11,hosakote,14.2769,77.1699,27.39,53,92,6.57,IN,1685393432
12,ponta delgada,37.7333,-25.6667,18.4,77,20,3.6,PT,1685393221
13,yellowknife,62.456,-114.3525,15.31,51,75,4.92,CA,1685393432
14,bethel,41.3712,-73.414,27.02,45,0,6.17,US,1685393433
15,ushuaia,-54.8,-68.3,8.81,71,20,0.0,AR,1685393433
16,zalingei,12.9096,23.4741,28.56,50,54,2.97,SD,1685393433
17,ormond-by-the-sea,29.3491,-81.0665,29.13,57,40,3.6,US,1685393433
18,happy valley-goose bay,53.3168,-60.3315,10.17,46,20,4.12,CA,1685393434
19,fonte boa,-2.4959,-66.2662,26.13,86,99,1.03,BR,1685393434
20,puerto natales,-51.7236,-72.4875,10.25,71,75,3.6,CL,1685393231
21,issa,53.8705,44.8578,11.05,89,2,3.0,RU,1685393434
22,masterton,-40.9597,175.6575,13.27,83,100,3.21,NZ,1685393435
23,souillac,-20.5167,57.5167,23.21,83,40,0.0,MU,1685393435
24,grytviken,-54.2811,-36.5092,0.3,91,95,5.27,GS,1685393435
25,puerto ayora,-0.7393,-90.3518,31.98,92,42,4.47,EC,1685393436
26,ilulissat,69.2167,-51.1,0.01,55,75,2.06,GL,1685393436
27,brookings,44.3114,-96.7984,29.47,46,0,6.69,US,1685393436
28,adamstown,-25.066,-130.1015,20.78,61,100,4.15,PN,1685393436
29,arteche,12.2645,125.4048,27.26,81,100,4.53,PH,1685393437
30,al lagowa,11.4,29.1333,26.32,63,98,0.73,SD,1685393437
31,martapura,-3.4167,114.85,25.05,100,40,0.51,ID,1685393437
32,olonkinbyen,70.9221,-8.7187,1.05,85,97,5.94,SJ,1685393437
33,san antonio de pale,-1.4014,5.6325,25.82,82,100,7.47,GQ,1685393438
34,lebu,-37.6167,-73.65,11.46,65,92,2.86,CL,1685393438
35,solnechnyy,50.7214,136.6319,7.72,66,87,2.27,RU,1685393438
36,weno,7.4515,151.8468,27.97,89,40,2.57,FM,1685393439
37,longyearbyen,78.2186,15.6401,1.91,75,75,7.72,SJ,1685393439
38,nova sintra,14.8667,-24.7167,21.35,79,99,7.46,CV,1685393439
39,panaba,21.2833,-88.2667,33.29,44,100,5.93,MX,1685393439
40,luderitz,-26.6481,15.1594,11.38,88,0,1.03,NA,1685393440
41,talnakh,69.4865,88.3972,-0.44,78,3,1.5,RU,1685393440
42,howrah,22.5892,88.3103,30.0,84,93,3.6,IN,1685393440
43,charlestown,-32.95,151.6667,11.52,77,76,1.34,AU,1685393440
44,thunder bay,48.4001,-89.3168,21.99,37,40,6.17,CA,1685393368
45,alesund,62.4723,6.1549,9.63,99,100,3.09,NO,1685393441
46,iskateley,67.6803,53.1512,7.86,88,100,2.35,RU,1685393441
47,punta arenas,-53.15,-70.9167,10.06,76,75,6.17,CL,1685393231
48,selfoss,63.9331,-20.9971,10.02,97,100,9.09,IS,1685393442
49,kapuskasing,49.4169,-82.4331,31.05,23,20,4.63,CA,1685393442
50,alice springs,-23.7,133.8833,2.75,87,17,3.12,AU,1685393442
51,chonchi,-42.6128,-73.8092,7.56,92,100,2.2,CL,1685393442
52,ketchikan,55.3422,-131.6461,11.26,58,75,5.14,US,1685393443
53,vila franca do campo,37.7167,-25.4333,18.23,85,74,2.73,PT,1685393443
54,brasileia,-11.0161,-68.7481,25.25,83,75,2.57,BR,1685393443
55,albany,42.6001,-73.9662,29.77,35,8,2.24,US,1685393227
56,fortuna,40.5982,-124.1573,13.7,94,75,6.17,US,1685393136
57,marsa alam,25.0757,34.8918,26.1,73,0,2.41,EG,1685393444
58,san patricio,28.017,-97.5169,31.97,57,67,4.0,US,1685393444
59,fort bragg,35.139,-79.006,21.32,87,100,1.54,US,1685393444
60,kyzyl-suu,42.3414,78.0056,9.25,43,0,3.79,KG,1685393445
61,philippeville,50.1957,4.5417,13.09,58,75,5.14,BE,1685393445
62,kindu,-2.95,25.95,22.33,89,41,0.59,CD,1685393445
63,rasht,37.2808,49.5832,22.05,75,76,1.0,IR,1685393446
64,stanley,54.868,-1.6985,10.01,71,0,0.51,GB,1685393446
65,morondava,-20.2833,44.2833,23.43,59,0,4.77,MG,1685393446
66,trairi,-3.2778,-39.2689,25.82,85,59,3.7,BR,1685393447
67,ozersk,55.7556,60.7028,18.51,76,100,3.34,RU,1685393447
68,uturoa,-16.7333,-151.4333,26.94,79,36,5.18,PF,1685393447
69,tromso,69.6496,18.957,5.01,81,75,5.14,NO,1685393448
70,zouerate,22.7187,-12.4521,26.15,32,100,6.24,MR,1685393448
71,afogados da ingazeira,-7.7508,-37.6392,26.52,55,84,4.71,BR,1685393448
72,banda aceh,5.5577,95.3222,26.65,79,92,5.86,ID,1685393449
73,bredasdorp,-34.5322,20.0403,15.96,97,100,8.08,ZA,1685393449
74,tiksi,71.6872,128.8694,3.1,99,59,4.44,RU,1685393449
75,neiafu,-18.65,-173.9833,27.38,83,40,4.12,TO,1685393450
76,khovd,48.0056,91.6419,8.3,38,31,1.29,MN,1685393450
77,malango,-2.9627,119.9001,18.68,98,5,0.97,ID,1685393450
78,sao gabriel da cachoeira,-0.1303,-67.0892,26.94,92,91,0.67,BR,1685393450
79,timimoun,29.2639,0.231,30.21,21,86,2.06,DZ,1685393451
80,ribeira grande,38.5167,-28.7,18.22,77,40,3.58,PT,1685393451
81,corozal,9.3151,-75.2928,27.96,81,100,5.11,CO,1685393451
82,akobo,7.4344,3.9497,23.8,92,100,1.84,NG,1685393451
83,lihue,21.9789,-159.3672,25.77,72,20,6.17,US,1685393452
84,christchurch,-43.5333,172.6333,14.11,60,100,3.6,NZ,1685393258
85,cabo san lucas,22.8909,-109.9124,32.01,47,0,4.63,MX,1685393435
86,panadura,6.7132,79.9026,26.98,86,100,2.67,LK,1685393453
87,tadmur,34.5608,38.2805,22.06,53,50,2.27,SY,1685393453
88,sobhodero,27.3046,68.3976,29.37,42,36,6.74,PK,1685393453
89,bilibino,68.0546,166.4372,0.67,75,100,5.63,RU,1685393453
90,hamilton,39.1834,-84.5333,30.24,32,0,3.09,US,1685393310
91,saint-pierre,-21.3393,55.4781,20.87,73,0,2.57,RE,1685393454
92,san andres,12.5847,-81.7006,30.01,74,20,3.09,CO,1685393454
93,qaqortoq,60.7167,-46.0333,3.08,79,14,2.08,GL,1685393454
94,atherton,53.5237,-2.4935,14.75,64,38,2.33,GB,1685393455
95,wailua homesteads,22.0669,-159.378,25.44,77,20,6.17,US,1685393455
96,flekkefjord,58.2971,6.6607,9.41,86,91,4.32,NO,1685393455
97,hackettstown,40.854,-74.8291,27.61,46,1,0.0,US,1685393208
98,iqaluit,63.7506,-68.5145,3.85,64,75,7.72,CA,1685393456
99,kalabo,-14.97,22.6814,16.43,33,10,1.53,ZM,1685393456
100,armacao de buzios,-22.7469,-41.8817,22.03,85,88,5.67,BR,1685393169
101,el abiodh sidi cheikh,32.893,0.5484,20.64,28,77,4.4,DZ,1685393456
102,west island,-12.1568,96.8225,26.99,78,40,5.14,CC,1685393457
103,sao vicente,-23.9631,-46.3919,21.1,56,100,0.45,BR,1685393457
104,egilsstadir,65.2653,-14.3948,14.95,51,0,8.75,IS,1685393457
105,moa,20.6569,-74.9403,28.89,76,43,2.51,CU,1685393458
106,ola,59.5833,151.2833,12.86,63,6,6.31,RU,1685393458
107,aasiaat,68.7098,-52.8699,-1.94,67,100,2.92,GL,1685393458
108,fort mcmurray,56.7268,-111.381,26.77,24,20,8.75,CA,1685393219
109,balakliya,49.4627,36.8595,15.86,82,100,4.25,UA,1685393459
110,arti,56.4234,58.5328,13.0,85,0,2.1,RU,1685393459
111,abu dhabi,24.4667,54.3667,31.64,70,0,1.03,AE,1685393459
112,yeniseysk,58.4497,92.1703,10.92,56,94,1.69,RU,1685393459
113,knyaze-volkonskoye,48.4642,135.4567,7.19,71,64,2.39,RU,1685393460
114,badger,64.8,-147.5333,9.17,86,100,8.23,US,1685393460
115,hermanus,-34.4187,19.2345,15.45,96,100,6.58,ZA,1685393460
116,dryden,49.7833,-92.7503,29.16,18,0,8.23,CA,1685393460
117,ust-nera,64.5667,143.2,9.8,75,75,1.47,RU,1685393461
118,whitehorse,60.7161,-135.0538,11.17,31,75,9.26,CA,1685393461
119,codrington,-38.2667,141.9667,14.26,89,100,5.41,AU,1685393461
120,cambria,35.5641,-121.0808,18.64,85,100,0.89,US,1685393462
121,enewetak,11.3474,162.3373,27.5,79,100,5.15,MH,1685393462
122,kavieng,-2.5744,150.7967,28.16,76,45,3.66,PG,1685393462
123,vadso,70.0744,29.7487,6.49,70,0,4.12,NO,1685393463
124,mount isa,-20.7333,139.5,9.87,46,41,0.0,AU,1685393464
125,haapsalu,58.9431,23.5414,8.28,63,100,1.59,EE,1685393464
126,puerto aysen,-45.4,-72.7,6.02,87,100,2.06,CL,1685393231
127,sucre,-19.0333,-65.2627,15.68,59,35,3.39,BO,1685393464
